ID,target
TEST_00000,3
TEST_00001,10
TEST_00002,9
TEST_00003,14
TEST_00004,4
TEST_00005,1
TEST_00006,8
TEST_00007,12
TEST_00008,15
TEST_00009,10
TEST_00010,17
TEST_00011,8
TEST_00012,4
TEST_00013,10
TEST_00014,4
TEST_00015,14
TEST_00016,10
TEST_00017,9
TEST_00018,11
TEST_00019,19
TEST_00020,6
TEST_00021,11
TEST_00022,7
TEST_00023,5
TEST_00024,14
TEST_00025,2
TEST_00026,12
TEST_00027,10
TEST_00028,8
TEST_00029,12
TEST_00030,13
TEST_00031,0
TEST_00032,1
TEST_00033,2
TEST_00034,12
TEST_00035,10
TEST_00036,0
TEST_00037,14
TEST_00038,14
TEST_00039,9
TEST_00040,20
TEST_00041,7
TEST_00042,10
TEST_00043,4
TEST_00044,11
TEST_00045,8
TEST_00046,10
TEST_00047,6
TEST_00048,18
TEST_00049,3
TEST_00050,4
TEST_00051,17
TEST_00052,19
TEST_00053,11
TEST_00054,19
TEST_00055,5
TEST_00056,13
TEST_00057,10
TEST_00058,17
TEST_00059,12
TEST_00060,20
TEST_00061,7
TEST_00062,18
TEST_00063,14
TEST_00064,7
TEST_00065,1
TEST_00066,6
TEST_00067,4
TEST_00068,19
TEST_00069,6
TEST_00070,8
TEST_00071,18
TEST_00072,12
TEST_00073,18
TEST_00074,0
TEST_00075,4
TEST_00076,12
TEST_00077,19
TEST_00078,2
TEST_00079,17
TEST_00080,8
TEST_00081,12
TEST_00082,12
TEST_00083,1
TEST_00084,8
TEST_00085,9
TEST_00086,2
TEST_00087,7
TEST_00088,12
TEST_00089,10
TEST_00090,0
TEST_00091,4
TEST_00092,12
TEST_00093,10
TEST_00094,7
TEST_00095,10
TEST_00096,2
TEST_00097,1
TEST_00098,11
TEST_00099,8
TEST_00100,2
TEST_00101,7
TEST_00102,10
TEST_00103,16
TEST_00104,10
TEST_00105,12
TEST_00106,7
TEST_00107,3
TEST_00108,16
TEST_00109,0
TEST_00110,12
TEST_00111,6
TEST_00112,20
TEST_00113,19
TEST_00114,6
TEST_00115,1
TEST_00116,12
TEST_00117,14
TEST_00118,9
TEST_00119,10
TEST_00120,12
TEST_00121,0
TEST_00122,19
TEST_00123,12
TEST_00124,12
TEST_00125,1
TEST_00126,2
TEST_00127,6
TEST_00128,16
TEST_00129,7
TEST_00130,12
TEST_00131,6
TEST_00132,8
TEST_00133,10
TEST_00134,2
TEST_00135,12
TEST_00136,13
TEST_00137,3
TEST_00138,3
TEST_00139,9
TEST_00140,3
TEST_00141,17
TEST_00142,7
TEST_00143,5
TEST_00144,17
TEST_00145,8
TEST_00146,18
TEST_00147,8
TEST_00148,15
TEST_00149,20
TEST_00150,0
TEST_00151,19
TEST_00152,7
TEST_00153,11
TEST_00154,9
TEST_00155,2
TEST_00156,3
TEST_00157,13
TEST_00158,19
TEST_00159,2
TEST_00160,11
TEST_00161,8
TEST_00162,19
TEST_00163,11
TEST_00164,19
TEST_00165,15
TEST_00166,15
TEST_00167,19
TEST_00168,18
TEST_00169,20
TEST_00170,8
TEST_00171,0
TEST_00172,8
TEST_00173,8
TEST_00174,1
TEST_00175,1
TEST_00176,12
TEST_00177,14
TEST_00178,13
TEST_00179,11
TEST_00180,12
TEST_00181,13
TEST_00182,20
TEST_00183,2
TEST_00184,3
TEST_00185,15
TEST_00186,18
TEST_00187,4
TEST_00188,11
TEST_00189,3
TEST_00190,12
TEST_00191,8
TEST_00192,18
TEST_00193,13
TEST_00194,3
TEST_00195,12
TEST_00196,12
TEST_00197,3
TEST_00198,4
TEST_00199,6
TEST_00200,20
TEST_00201,7
TEST_00202,4
TEST_00203,17
TEST_00204,14
TEST_00205,5
TEST_00206,7
TEST_00207,16
TEST_00208,12
TEST_00209,2
TEST_00210,2
TEST_00211,4
TEST_00212,10
TEST_00213,17
TEST_00214,18
TEST_00215,14
TEST_00216,10
TEST_00217,20
TEST_00218,6
TEST_00219,12
TEST_00220,6
TEST_00221,0
TEST_00222,9
TEST_00223,14
TEST_00224,9
TEST_00225,2
TEST_00226,19
TEST_00227,8
TEST_00228,9
TEST_00229,19
TEST_00230,8
TEST_00231,20
TEST_00232,20
TEST_00233,4
TEST_00234,8
TEST_00235,14
TEST_00236,15
TEST_00237,1
TEST_00238,8
TEST_00239,8
TEST_00240,5
TEST_00241,6
TEST_00242,8
TEST_00243,0
TEST_00244,11
TEST_00245,12
TEST_00246,10
TEST_00247,18
TEST_00248,5
TEST_00249,16
TEST_00250,5
TEST_00251,4
TEST_00252,2
TEST_00253,13
TEST_00254,4
TEST_00255,12
TEST_00256,7
TEST_00257,5
TEST_00258,18
TEST_00259,9
TEST_00260,8
TEST_00261,6
TEST_00262,9
TEST_00263,0
TEST_00264,16
TEST_00265,8
TEST_00266,14
TEST_00267,20
TEST_00268,6
TEST_00269,18
TEST_00270,8
TEST_00271,6
TEST_00272,19
TEST_00273,8
TEST_00274,2
TEST_00275,0
TEST_00276,12
TEST_00277,4
TEST_00278,0
TEST_00279,12
TEST_00280,7
TEST_00281,12
TEST_00282,3
TEST_00283,8
TEST_00284,12
TEST_00285,2
TEST_00286,11
TEST_00287,15
TEST_00288,6
TEST_00289,5
TEST_00290,17
TEST_00291,16
TEST_00292,8
TEST_00293,7
TEST_00294,3
TEST_00295,8
TEST_00296,0
TEST_00297,8
TEST_00298,0
TEST_00299,14
TEST_00300,14
TEST_00301,13
TEST_00302,2
TEST_00303,19
TEST_00304,6
TEST_00305,5
TEST_00306,10
TEST_00307,9
TEST_00308,19
TEST_00309,1
TEST_00310,1
TEST_00311,1
TEST_00312,5
TEST_00313,4
TEST_00314,12
TEST_00315,12
TEST_00316,1
TEST_00317,4
TEST_00318,11
TEST_00319,9
TEST_00320,2
TEST_00321,12
TEST_00322,13
TEST_00323,0
TEST_00324,9
TEST_00325,0
TEST_00326,7
TEST_00327,8
TEST_00328,19
TEST_00329,11
TEST_00330,14
TEST_00331,7
TEST_00332,7
TEST_00333,16
TEST_00334,4
TEST_00335,8
TEST_00336,16
TEST_00337,15
TEST_00338,19
TEST_00339,11
TEST_00340,19
TEST_00341,0
TEST_00342,6
TEST_00343,8
TEST_00344,15
TEST_00345,10
TEST_00346,10
TEST_00347,5
TEST_00348,17
TEST_00349,4
TEST_00350,9
TEST_00351,5
TEST_00352,19
TEST_00353,19
TEST_00354,16
TEST_00355,8
TEST_00356,12
TEST_00357,6
TEST_00358,9
TEST_00359,2
TEST_00360,8
TEST_00361,18
TEST_00362,3
TEST_00363,17
TEST_00364,18
TEST_00365,12
TEST_00366,14
TEST_00367,12
TEST_00368,0
TEST_00369,0
TEST_00370,20
TEST_00371,2
TEST_00372,3
TEST_00373,12
TEST_00374,3
TEST_00375,10
TEST_00376,19
TEST_00377,20
TEST_00378,16
TEST_00379,4
TEST_00380,6
TEST_00381,3
TEST_00382,19
TEST_00383,5
TEST_00384,13
TEST_00385,8
TEST_00386,16
TEST_00387,1
TEST_00388,13
TEST_00389,19
TEST_00390,11
TEST_00391,12
TEST_00392,20
TEST_00393,12
TEST_00394,4
TEST_00395,13
TEST_00396,9
TEST_00397,12
TEST_00398,1
TEST_00399,8
TEST_00400,13
TEST_00401,9
TEST_00402,0
TEST_00403,15
TEST_00404,7
TEST_00405,14
TEST_00406,18
TEST_00407,19
TEST_00408,5
TEST_00409,2
TEST_00410,18
TEST_00411,12
TEST_00412,9
TEST_00413,4
TEST_00414,8
TEST_00415,17
TEST_00416,3
TEST_00417,10
TEST_00418,10
TEST_00419,14
TEST_00420,11
TEST_00421,4
TEST_00422,9
TEST_00423,3
TEST_00424,16
TEST_00425,9
TEST_00426,11
TEST_00427,13
TEST_00428,4
TEST_00429,14
TEST_00430,1
TEST_00431,10
TEST_00432,8
TEST_00433,14
TEST_00434,2
TEST_00435,16
TEST_00436,10
TEST_00437,7
TEST_00438,11
TEST_00439,16
TEST_00440,18
TEST_00441,12
TEST_00442,13
TEST_00443,13
TEST_00444,15
TEST_00445,13
TEST_00446,12
TEST_00447,9
TEST_00448,13
TEST_00449,19
TEST_00450,9
TEST_00451,10
TEST_00452,18
TEST_00453,13
TEST_00454,2
TEST_00455,16
TEST_00456,15
TEST_00457,11
TEST_00458,6
TEST_00459,15
TEST_00460,12
TEST_00461,10
TEST_00462,17
TEST_00463,4
TEST_00464,13
TEST_00465,12
TEST_00466,14
TEST_00467,10
TEST_00468,8
TEST_00469,8
TEST_00470,17
TEST_00471,9
TEST_00472,18
TEST_00473,12
TEST_00474,12
TEST_00475,2
TEST_00476,5
TEST_00477,14
TEST_00478,5
TEST_00479,12
TEST_00480,10
TEST_00481,8
TEST_00482,4
TEST_00483,5
TEST_00484,12
TEST_00485,10
TEST_00486,1
TEST_00487,19
TEST_00488,12
TEST_00489,13
TEST_00490,12
TEST_00491,0
TEST_00492,1
TEST_00493,5
TEST_00494,11
TEST_00495,19
TEST_00496,4
TEST_00497,18
TEST_00498,0
TEST_00499,9
TEST_00500,0
TEST_00501,12
TEST_00502,13
TEST_00503,18
TEST_00504,2
TEST_00505,20
TEST_00506,10
TEST_00507,0
TEST_00508,20
TEST_00509,9
TEST_00510,4
TEST_00511,6
TEST_00512,10
TEST_00513,5
TEST_00514,0
TEST_00515,14
TEST_00516,12
TEST_00517,17
TEST_00518,5
TEST_00519,18
TEST_00520,5
TEST_00521,13
TEST_00522,10
TEST_00523,15
TEST_00524,17
TEST_00525,17
TEST_00526,17
TEST_00527,4
TEST_00528,9
TEST_00529,1
TEST_00530,18
TEST_00531,12
TEST_00532,19
TEST_00533,4
TEST_00534,8
TEST_00535,10
TEST_00536,14
TEST_00537,19
TEST_00538,9
TEST_00539,15
TEST_00540,15
TEST_00541,14
TEST_00542,0
TEST_00543,17
TEST_00544,4
TEST_00545,4
TEST_00546,9
TEST_00547,7
TEST_00548,20
TEST_00549,4
TEST_00550,10
TEST_00551,2
TEST_00552,0
TEST_00553,7
TEST_00554,6
TEST_00555,1
TEST_00556,10
TEST_00557,14
TEST_00558,14
TEST_00559,14
TEST_00560,19
TEST_00561,20
TEST_00562,6
TEST_00563,12
TEST_00564,2
TEST_00565,10
TEST_00566,3
TEST_00567,16
TEST_00568,0
TEST_00569,11
TEST_00570,9
TEST_00571,5
TEST_00572,17
TEST_00573,5
TEST_00574,12
TEST_00575,11
TEST_00576,0
TEST_00577,0
TEST_00578,3
TEST_00579,8
TEST_00580,15
TEST_00581,11
TEST_00582,8
TEST_00583,0
TEST_00584,3
TEST_00585,19
TEST_00586,18
TEST_00587,12
TEST_00588,8
TEST_00589,11
TEST_00590,14
TEST_00591,12
TEST_00592,18
TEST_00593,4
TEST_00594,18
TEST_00595,11
TEST_00596,5
TEST_00597,8
TEST_00598,10
TEST_00599,8
TEST_00600,20
TEST_00601,0
TEST_00602,15
TEST_00603,8
TEST_00604,20
TEST_00605,8
TEST_00606,6
TEST_00607,10
TEST_00608,19
TEST_00609,0
TEST_00610,4
TEST_00611,10
TEST_00612,15
TEST_00613,18
TEST_00614,0
TEST_00615,3
TEST_00616,19
TEST_00617,4
TEST_00618,13
TEST_00619,3
TEST_00620,9
TEST_00621,16
TEST_00622,3
TEST_00623,4
TEST_00624,19
TEST_00625,10
TEST_00626,12
TEST_00627,18
TEST_00628,19
TEST_00629,8
TEST_00630,18
TEST_00631,13
TEST_00632,17
TEST_00633,8
TEST_00634,9
TEST_00635,2
TEST_00636,10
TEST_00637,13
TEST_00638,12
TEST_00639,6
TEST_00640,11
TEST_00641,8
TEST_00642,8
TEST_00643,19
TEST_00644,10
TEST_00645,3
TEST_00646,10
TEST_00647,16
TEST_00648,11
TEST_00649,11
TEST_00650,11
TEST_00651,4
TEST_00652,13
TEST_00653,8
TEST_00654,1
TEST_00655,12
TEST_00656,12
TEST_00657,5
TEST_00658,6
TEST_00659,11
TEST_00660,3
TEST_00661,10
TEST_00662,20
TEST_00663,19
TEST_00664,4
TEST_00665,18
TEST_00666,13
TEST_00667,8
TEST_00668,0
TEST_00669,12
TEST_00670,17
TEST_00671,17
TEST_00672,19
TEST_00673,9
TEST_00674,17
TEST_00675,13
TEST_00676,5
TEST_00677,16
TEST_00678,5
TEST_00679,6
TEST_00680,17
TEST_00681,2
TEST_00682,17
TEST_00683,3
TEST_00684,7
TEST_00685,12
TEST_00686,16
TEST_00687,11
TEST_00688,1
TEST_00689,8
TEST_00690,12
TEST_00691,2
TEST_00692,9
TEST_00693,4
TEST_00694,13
TEST_00695,4
TEST_00696,0
TEST_00697,6
TEST_00698,18
TEST_00699,8
TEST_00700,8
TEST_00701,18
TEST_00702,4
TEST_00703,6
TEST_00704,7
TEST_00705,5
TEST_00706,15
TEST_00707,10
TEST_00708,8
TEST_00709,3
TEST_00710,9
TEST_00711,12
TEST_00712,13
TEST_00713,15
TEST_00714,6
TEST_00715,7
TEST_00716,7
TEST_00717,19
TEST_00718,9
TEST_00719,0
TEST_00720,16
TEST_00721,11
TEST_00722,5
TEST_00723,5
TEST_00724,10
TEST_00725,11
TEST_00726,5
TEST_00727,9
TEST_00728,19
TEST_00729,20
TEST_00730,13
TEST_00731,18
TEST_00732,12
TEST_00733,7
TEST_00734,7
TEST_00735,10
TEST_00736,10
TEST_00737,4
TEST_00738,8
TEST_00739,16
TEST_00740,13
TEST_00741,14
TEST_00742,8
TEST_00743,17
TEST_00744,5
TEST_00745,12
TEST_00746,6
TEST_00747,9
TEST_00748,20
TEST_00749,4
TEST_00750,13
TEST_00751,15
TEST_00752,3
TEST_00753,12
TEST_00754,14
TEST_00755,16
TEST_00756,12
TEST_00757,10
TEST_00758,12
TEST_00759,12
TEST_00760,11
TEST_00761,19
TEST_00762,8
TEST_00763,13
TEST_00764,17
TEST_00765,12
TEST_00766,13
TEST_00767,6
TEST_00768,11
TEST_00769,12
TEST_00770,4
TEST_00771,7
TEST_00772,16
TEST_00773,3
TEST_00774,6
TEST_00775,10
TEST_00776,1
TEST_00777,4
TEST_00778,0
TEST_00779,20
TEST_00780,11
TEST_00781,8
TEST_00782,18
TEST_00783,6
TEST_00784,15
TEST_00785,2
TEST_00786,11
TEST_00787,11
TEST_00788,10
TEST_00789,1
TEST_00790,13
TEST_00791,0
TEST_00792,13
TEST_00793,15
TEST_00794,3
TEST_00795,14
TEST_00796,18
TEST_00797,14
TEST_00798,19
TEST_00799,5
TEST_00800,4
TEST_00801,13
TEST_00802,10
TEST_00803,3
TEST_00804,12
TEST_00805,15
TEST_00806,5
TEST_00807,10
TEST_00808,15
TEST_00809,14
TEST_00810,14
TEST_00811,12
TEST_00812,18
TEST_00813,16
TEST_00814,4
TEST_00815,3
TEST_00816,17
TEST_00817,15
TEST_00818,16
TEST_00819,8
TEST_00820,0
TEST_00821,4
TEST_00822,12
TEST_00823,3
TEST_00824,9
TEST_00825,12
TEST_00826,12
TEST_00827,17
TEST_00828,14
TEST_00829,5
TEST_00830,20
TEST_00831,19
TEST_00832,19
TEST_00833,8
TEST_00834,0
TEST_00835,20
TEST_00836,9
TEST_00837,8
TEST_00838,11
TEST_00839,6
TEST_00840,3
TEST_00841,2
TEST_00842,19
TEST_00843,20
TEST_00844,2
TEST_00845,19
TEST_00846,4
TEST_00847,13
TEST_00848,10
TEST_00849,12
TEST_00850,6
TEST_00851,15
TEST_00852,10
TEST_00853,8
TEST_00854,4
TEST_00855,12
TEST_00856,20
TEST_00857,9
TEST_00858,14
TEST_00859,13
TEST_00860,10
TEST_00861,10
TEST_00862,11
TEST_00863,14
TEST_00864,5
TEST_00865,17
TEST_00866,14
TEST_00867,3
TEST_00868,5
TEST_00869,19
TEST_00870,3
TEST_00871,9
TEST_00872,6
TEST_00873,2
TEST_00874,12
TEST_00875,14
TEST_00876,18
TEST_00877,17
TEST_00878,2
TEST_00879,16
TEST_00880,15
TEST_00881,8
TEST_00882,3
TEST_00883,13
TEST_00884,17
TEST_00885,1
TEST_00886,18
TEST_00887,6
TEST_00888,18
TEST_00889,15
TEST_00890,10
TEST_00891,8
TEST_00892,8
TEST_00893,6
TEST_00894,0
TEST_00895,10
TEST_00896,17
TEST_00897,20
TEST_00898,8
TEST_00899,7
TEST_00900,12
TEST_00901,3
TEST_00902,8
TEST_00903,12
TEST_00904,8
TEST_00905,13
TEST_00906,6
TEST_00907,13
TEST_00908,10
TEST_00909,3
TEST_00910,5
TEST_00911,12
TEST_00912,8
TEST_00913,9
TEST_00914,11
TEST_00915,3
TEST_00916,5
TEST_00917,3
TEST_00918,11
TEST_00919,17
TEST_00920,5
TEST_00921,13
TEST_00922,5
TEST_00923,11
TEST_00924,4
TEST_00925,1
TEST_00926,12
TEST_00927,6
TEST_00928,8
TEST_00929,0
TEST_00930,0
TEST_00931,7
TEST_00932,18
TEST_00933,15
TEST_00934,11
TEST_00935,10
TEST_00936,12
TEST_00937,9
TEST_00938,12
TEST_00939,18
TEST_00940,10
TEST_00941,16
TEST_00942,11
TEST_00943,13
TEST_00944,20
TEST_00945,1
TEST_00946,15
TEST_00947,17
TEST_00948,17
TEST_00949,8
TEST_00950,13
TEST_00951,17
TEST_00952,19
TEST_00953,3
TEST_00954,6
TEST_00955,20
TEST_00956,12
TEST_00957,12
TEST_00958,4
TEST_00959,5
TEST_00960,13
TEST_00961,17
TEST_00962,9
TEST_00963,5
TEST_00964,10
TEST_00965,12
TEST_00966,0
TEST_00967,8
TEST_00968,15
TEST_00969,8
TEST_00970,12
TEST_00971,16
TEST_00972,7
TEST_00973,17
TEST_00974,12
TEST_00975,5
TEST_00976,2
TEST_00977,3
TEST_00978,16
TEST_00979,16
TEST_00980,16
TEST_00981,17
TEST_00982,12
TEST_00983,5
TEST_00984,8
TEST_00985,10
TEST_00986,6
TEST_00987,19
TEST_00988,10
TEST_00989,2
TEST_00990,20
TEST_00991,2
TEST_00992,8
TEST_00993,7
TEST_00994,6
TEST_00995,7
TEST_00996,11
TEST_00997,10
TEST_00998,15
TEST_00999,14
TEST_01000,12
TEST_01001,11
TEST_01002,4
TEST_01003,4
TEST_01004,19
TEST_01005,15
TEST_01006,20
TEST_01007,13
TEST_01008,3
TEST_01009,6
TEST_01010,7
TEST_01011,12
TEST_01012,14
TEST_01013,6
TEST_01014,16
TEST_01015,9
TEST_01016,10
TEST_01017,15
TEST_01018,8
TEST_01019,12
TEST_01020,16
TEST_01021,10
TEST_01022,4
TEST_01023,10
TEST_01024,10
TEST_01025,10
TEST_01026,1
TEST_01027,8
TEST_01028,14
TEST_01029,13
TEST_01030,5
TEST_01031,20
TEST_01032,14
TEST_01033,11
TEST_01034,20
TEST_01035,17
TEST_01036,0
TEST_01037,15
TEST_01038,18
TEST_01039,5
TEST_01040,3
TEST_01041,17
TEST_01042,6
TEST_01043,10
TEST_01044,12
TEST_01045,1
TEST_01046,19
TEST_01047,8
TEST_01048,17
TEST_01049,0
TEST_01050,3
TEST_01051,4
TEST_01052,12
TEST_01053,14
TEST_01054,6
TEST_01055,15
TEST_01056,0
TEST_01057,17
TEST_01058,5
TEST_01059,9
TEST_01060,5
TEST_01061,8
TEST_01062,4
TEST_01063,15
TEST_01064,13
TEST_01065,3
TEST_01066,19
TEST_01067,15
TEST_01068,1
TEST_01069,7
TEST_01070,7
TEST_01071,12
TEST_01072,12
TEST_01073,12
TEST_01074,12
TEST_01075,4
TEST_01076,13
TEST_01077,10
TEST_01078,15
TEST_01079,1
TEST_01080,9
TEST_01081,6
TEST_01082,10
TEST_01083,7
TEST_01084,6
TEST_01085,16
TEST_01086,16
TEST_01087,3
TEST_01088,5
TEST_01089,0
TEST_01090,11
TEST_01091,2
TEST_01092,1
TEST_01093,12
TEST_01094,12
TEST_01095,7
TEST_01096,12
TEST_01097,1
TEST_01098,19
TEST_01099,20
TEST_01100,17
TEST_01101,1
TEST_01102,10
TEST_01103,19
TEST_01104,12
TEST_01105,1
TEST_01106,16
TEST_01107,7
TEST_01108,18
TEST_01109,5
TEST_01110,9
TEST_01111,19
TEST_01112,2
TEST_01113,0
TEST_01114,15
TEST_01115,20
TEST_01116,13
TEST_01117,15
TEST_01118,12
TEST_01119,9
TEST_01120,5
TEST_01121,17
TEST_01122,4
TEST_01123,13
TEST_01124,6
TEST_01125,14
TEST_01126,10
TEST_01127,2
TEST_01128,19
TEST_01129,10
TEST_01130,9
TEST_01131,6
TEST_01132,7
TEST_01133,2
TEST_01134,10
TEST_01135,13
TEST_01136,14
TEST_01137,12
TEST_01138,2
TEST_01139,4
TEST_01140,5
TEST_01141,19
TEST_01142,12
TEST_01143,0
TEST_01144,19
TEST_01145,8
TEST_01146,17
TEST_01147,16
TEST_01148,5
TEST_01149,5
TEST_01150,3
TEST_01151,8
TEST_01152,6
TEST_01153,12
TEST_01154,9
TEST_01155,17
TEST_01156,0
TEST_01157,8
TEST_01158,7
TEST_01159,0
TEST_01160,13
TEST_01161,5
TEST_01162,6
TEST_01163,8
TEST_01164,9
TEST_01165,12
TEST_01166,13
TEST_01167,19
TEST_01168,16
TEST_01169,13
TEST_01170,11
TEST_01171,3
TEST_01172,2
TEST_01173,12
TEST_01174,18
TEST_01175,9
TEST_01176,12
TEST_01177,19
TEST_01178,12
TEST_01179,19
TEST_01180,0
TEST_01181,10
TEST_01182,12
TEST_01183,0
TEST_01184,14
TEST_01185,12
TEST_01186,20
TEST_01187,10
TEST_01188,12
TEST_01189,0
TEST_01190,8
TEST_01191,4
TEST_01192,10
TEST_01193,11
TEST_01194,1
TEST_01195,17
TEST_01196,8
TEST_01197,20
TEST_01198,8
TEST_01199,0
TEST_01200,8
TEST_01201,15
TEST_01202,17
TEST_01203,12
TEST_01204,5
TEST_01205,19
TEST_01206,13
TEST_01207,2
TEST_01208,9
TEST_01209,6
TEST_01210,17
TEST_01211,19
TEST_01212,13
TEST_01213,14
TEST_01214,1
TEST_01215,16
TEST_01216,15
TEST_01217,3
TEST_01218,12
TEST_01219,20
TEST_01220,2
TEST_01221,6
TEST_01222,20
TEST_01223,7
TEST_01224,20
TEST_01225,20
TEST_01226,12
TEST_01227,19
TEST_01228,17
TEST_01229,8
TEST_01230,7
TEST_01231,12
TEST_01232,12
TEST_01233,7
TEST_01234,0
TEST_01235,11
TEST_01236,19
TEST_01237,18
TEST_01238,5
TEST_01239,13
TEST_01240,17
TEST_01241,0
TEST_01242,3
TEST_01243,3
TEST_01244,4
TEST_01245,0
TEST_01246,2
TEST_01247,8
TEST_01248,7
TEST_01249,5
TEST_01250,13
TEST_01251,3
TEST_01252,14
TEST_01253,4
TEST_01254,17
TEST_01255,4
TEST_01256,9
TEST_01257,20
TEST_01258,5
TEST_01259,19
TEST_01260,20
TEST_01261,5
TEST_01262,11
TEST_01263,12
TEST_01264,8
TEST_01265,14
TEST_01266,17
TEST_01267,14
TEST_01268,1
TEST_01269,5
TEST_01270,19
TEST_01271,4
TEST_01272,17
TEST_01273,12
TEST_01274,20
TEST_01275,15
TEST_01276,2
TEST_01277,17
TEST_01278,8
TEST_01279,11
TEST_01280,20
TEST_01281,2
TEST_01282,11
TEST_01283,16
TEST_01284,12
TEST_01285,5
TEST_01286,16
TEST_01287,18
TEST_01288,19
TEST_01289,20
TEST_01290,5
TEST_01291,12
TEST_01292,20
TEST_01293,6
TEST_01294,17
TEST_01295,12
TEST_01296,13
TEST_01297,12
TEST_01298,10
TEST_01299,15
TEST_01300,8
TEST_01301,17
TEST_01302,0
TEST_01303,15
TEST_01304,10
TEST_01305,7
TEST_01306,7
TEST_01307,20
TEST_01308,19
TEST_01309,17
TEST_01310,2
TEST_01311,5
TEST_01312,0
TEST_01313,4
TEST_01314,19
TEST_01315,18
TEST_01316,13
TEST_01317,18
TEST_01318,16
TEST_01319,16
TEST_01320,12
TEST_01321,4
TEST_01322,12
TEST_01323,14
TEST_01324,17
TEST_01325,20
TEST_01326,8
TEST_01327,8
TEST_01328,0
TEST_01329,19
TEST_01330,8
TEST_01331,6
TEST_01332,18
TEST_01333,20
TEST_01334,20
TEST_01335,7
TEST_01336,8
TEST_01337,1
TEST_01338,13
TEST_01339,14
TEST_01340,2
TEST_01341,11
TEST_01342,6
TEST_01343,1
TEST_01344,20
TEST_01345,4
TEST_01346,1
TEST_01347,14
TEST_01348,13
TEST_01349,15
TEST_01350,20
TEST_01351,12
TEST_01352,13
TEST_01353,10
TEST_01354,9
TEST_01355,19
TEST_01356,1
TEST_01357,0
TEST_01358,5
TEST_01359,9
TEST_01360,15
TEST_01361,15
TEST_01362,20
TEST_01363,10
TEST_01364,9
TEST_01365,17
TEST_01366,17
TEST_01367,20
TEST_01368,10
TEST_01369,5
TEST_01370,3
TEST_01371,12
TEST_01372,12
TEST_01373,9
TEST_01374,12
TEST_01375,14
TEST_01376,19
TEST_01377,8
TEST_01378,19
TEST_01379,20
TEST_01380,4
TEST_01381,12
TEST_01382,19
TEST_01383,16
TEST_01384,2
TEST_01385,11
TEST_01386,15
TEST_01387,3
TEST_01388,8
TEST_01389,18
TEST_01390,11
TEST_01391,19
TEST_01392,4
TEST_01393,18
TEST_01394,9
TEST_01395,4
TEST_01396,10
TEST_01397,4
TEST_01398,4
TEST_01399,9
TEST_01400,10
TEST_01401,3
TEST_01402,12
TEST_01403,3
TEST_01404,4
TEST_01405,6
TEST_01406,19
TEST_01407,13
TEST_01408,9
TEST_01409,16
TEST_01410,12
TEST_01411,12
TEST_01412,3
TEST_01413,5
TEST_01414,15
TEST_01415,5
TEST_01416,20
TEST_01417,20
TEST_01418,10
TEST_01419,4
TEST_01420,20
TEST_01421,0
TEST_01422,7
TEST_01423,16
TEST_01424,8
TEST_01425,8
TEST_01426,9
TEST_01427,2
TEST_01428,16
TEST_01429,12
TEST_01430,20
TEST_01431,6
TEST_01432,8
TEST_01433,16
TEST_01434,5
TEST_01435,0
TEST_01436,6
TEST_01437,17
TEST_01438,1
TEST_01439,14
TEST_01440,1
